steam_id_hash,leetify_id,privacy_mode,winrate,total_matches,first_match_date,rank_leetify,rank_premier,rank_faceit,rank_faceit_elo,rank_wingman,rating_aim,rating_positioning,rating_utility,rating_clutch,rating_opening,rating_ct_leetify,rating_t_leetify,stat_accuracy_head,stat_accuracy_enemy_spotted,stat_preaim,stat_reaction_time_ms,stat_spray_accuracy,stat_counter_strafing_good_shots_ratio,stat_ct_opening_aggression_success_rate,stat_ct_opening_duel_success_percentage,stat_t_opening_aggression_success_rate,stat_t_opening_duel_success_percentage,stat_traded_deaths_success_percentage,stat_trade_kill_opportunities_per_round,stat_trade_kills_success_percentage,stat_he_foes_damage_avg,stat_flashbang_thrown,stat_flashbang_leading_to_kill,stat_utility_on_death_avg,recent_matches_count,ban_count
3b5e1b9c92ddca64,ce4f6a6a-8e8a-45b9-bb79-038a63a317c4,public,0.4483,668,2020-03-16T00:21:14.000Z,-0.76,13340,5,,,16.8528,44.0382,65.9003,0.1112,-0.0121,-0.0036,-0.0119,17.2219,25.1462,12.2758,719.2131,26.0149,65.9468,31.1252,35.6119,35.062,39.4366,48.9962,0.2612,42.9785,8.915,8.0824,8.8689,288.3017,100,0
8fff39ac92ec5356,45ddec34-09a4-454f-9026-0f55997c50a8,public,0.5667,795,2020-03-17T21:43:46.000Z,3.2099999999999995,14260,4,,,66.2757,63.6831,59.7738,0.1239,0.0225,0.0254,0.0392,15.9093,32.9719,9.6044,608.0993,33.8416,82.0065,42.7389,57.761,48.5535,54.3514,55.0868,0.2679,46.0118,7.9197,11.5961,6.851,221.1173,100,0
35873c07871f095a,,not_found,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14976a4b29dcf197,,not_found,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7d49a5499071f3be,,not_found,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77f754fed7cd9324,,not_found,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7d36a6fa1442a126,,not_found,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5718e71ac51d0950,,not_found,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1f2fa9f846f1d13d,,not_found,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c67cbc564e61ace2,f0756d72-28ee-4004-a673-19b794b0944f,public,0.3571,246,2020-03-26T23:19:05.000Z,0.5599999999999999,,9,,17,65.5422,48.0061,61.7623,0.1497,-0.0219,0.0099,0.0014,19.8138,32.0954,10.5168,591.0521,33.7318,78.2049,37.3037,40.4317,32.1875,38.8886,48.8878,0.293,42.3752,11.1505,14.4455,6.0634,273.6793,100,0
