market_hash_name,price_usd,volume,source
StatTrak™ SG 553 | Danger Close (Factory New),1.72,6,steam_market
M4A4 | Poly Mag (Factory New),4.74,78,steam_market
Galil AR | Acid Dart (Factory New),0.4,258,steam_market
USP-S | Ticket to Hell (Factory New),5.11,192,steam_market
Sawed-Off | Crimson Batik (Factory New),0.11,1770,steam_market
StatTrak™ P250 | Cassette (Factory New),1.0,65,steam_market
P90 | Ash Wood (Factory New),0.46,76,steam_market
MP7 | Short Ochre (Factory New),0.17,349,steam_market
Souvenir AUG | Snake Pit (Factory New),0.36,39,steam_market
MP9 | Buff Blue (Factory New),0.2,619,steam_market
SSG 08 | Acid Fade (Factory New),1.52,649,steam_market
XM1014 | Gum Wall Camo (Factory New),0.49,371,steam_market
Negev | Sour Grapes (Factory New),0.81,133,steam_market
AK-47 | Uncharted (Factory New),5.52,83,steam_market
Dual Berettas | Flora Carnivora (Minimal Wear),1.75,243,steam_market
UMP-45 | Motorized (Field-Tested),0.15,1526,steam_market
Tec-9 | Red Quartz (Factory New),0.92,193,steam_market
Five-SeveN | Sky Blue (Factory New),0.51,411,steam_market
Desert Eagle | Corinthian (Factory New),2.47,132,steam_market
MAC-10 | Light Box (Factory New),1.66,149,steam_market
AWP | Arsenic Spill (Factory New),2.5,214,steam_market
FAMAS | Palm (Factory New),0.12,276,steam_market
Glock-18 | Winterized (Factory New),4.67,78,steam_market
MP5-SD | Picnic (Field-Tested),0.06,834,steam_market
XM1014 | Canvas Cloud (Field-Tested),0.03,376,steam_market
Sawed-Off | Crimson Batik (Field-Tested),0.03,445,steam_market
Tec-9 | Banana Leaf (Factory New),0.4,360,steam_market
P90 | Mustard Gas (Field-Tested),0.06,562,steam_market
Dual Berettas | Rose Nacre (Field-Tested),0.06,628,steam_market
USP-S | Jawbreaker (Field-Tested),6.72,574,steam_market
MAC-10 | Light Box (Well-Worn),0.11,514,steam_market
MP5-SD | Snow Splash (Field-Tested),0.06,605,steam_market
Sawed-Off | Spirit Board (Field-Tested),0.12,845,steam_market
G3SG1 | Dream Glade (Field-Tested),0.96,585,steam_market
G3SG1 | Dream Glade (Well-Worn),0.88,277,steam_market
StatTrak™ MP5-SD | Necro Jr. (Minimal Wear),0.73,182,steam_market
Sawed-Off | Spirit Board (Well-Worn),0.11,486,steam_market
Galil AR | Cold Fusion (Minimal Wear),0.21,397,steam_market
UMP-45 | Facility Dark (Field-Tested),0.04,64,steam_market
Souvenir P250 | Drought (Factory New),0.04,213,steam_market
Souvenir MP7 | Prey (Factory New),0.06,136,steam_market
StatTrak™ Galil AR | Destroyer (Factory New),1.06,44,steam_market
Souvenir FAMAS | CaliCamo (Factory New),0.29,67,steam_market
Souvenir AUG | Spalted Wood (Factory New),0.14,53,steam_market
Souvenir SG 553 | Bleached (Factory New),0.06,150,steam_market
Sawed-Off | Snake Camo (Field-Tested),0.06,334,steam_market
StatTrak™ SG 553 | Ol' Rusty (Battle-Scarred),0.16,24,steam_market
StatTrak™ M249 | O.S.I.P.R. (Minimal Wear),1.01,38,steam_market
MAC-10 | Calf Skin (Field-Tested),0.16,501,steam_market
MP7 | Just Smile (Minimal Wear),1.64,372,steam_market
AWP | Safari Mesh (Minimal Wear),0.42,342,steam_market
Sealed Graffiti | Karambit (Princess Pink),0.05,30,steam_market
Sealed Graffiti | Worry (Dust Brown),0.03,10,steam_market
Sealed Graffiti | Double (Battle Green),0.04,40,steam_market
Sealed Graffiti | NaCl (Shark White),0.04,427,steam_market
Zeus x27 | Swamp DDPAT (Field-Tested),0.03,180,steam_market
Dreams & Nightmares Case,2.34,147506,steam_market
SSG 08 | Dezastre (Minimal Wear),0.3,648,steam_market
Nova | Dark Sigil (Factory New),0.86,367,steam_market
SG 553 | Safari Print (Minimal Wear),0.03,737,steam_market
CZ75-Auto | Honey Paisley (Field-Tested),0.03,563,steam_market
SG 553 | Basket Halftone (Minimal Wear),0.09,439,steam_market
MAC-10 | Light Box (Field-Tested),0.15,1043,steam_market
SSG 08 | Calligrafaux (Well-Worn),0.07,359,steam_market
SSG 08 | Calligrafaux (Field-Tested),0.1,662,steam_market
FAMAS | Palm (Field-Tested),0.03,367,steam_market
G3SG1 | Green Cell (Factory New),0.09,264,steam_market
PP-Bizon | Wood Block Camo (Field-Tested),0.03,163,steam_market
P250 | Copper Oxide (Field-Tested),0.03,498,steam_market
SG 553 | Night Camo (Field-Tested),0.03,673,steam_market
Dual Berettas | Twin Turbo (Minimal Wear),9.68,12,steam_market
Tec-9 | Garter-9 (Minimal Wear),0.26,614,steam_market
Galil AR | O-Ranger (Minimal Wear),0.14,518,steam_market
"Sticker | mezii (Foil, Champion) | Austin 2025",0.05,49,steam_market
"Sticker | apEX (Foil, Champion) | Austin 2025",0.07,37,steam_market
"Sticker | ropz (Foil, Champion) | Austin 2025",0.15,76,steam_market
Sticker | FlameZ (Champion) | Austin 2025,0.03,8,steam_market
Sticker | ropz (Champion) | Austin 2025,0.07,186,steam_market
Sticker | ZywOo (Champion) | Austin 2025,0.04,249,steam_market
Sticker | apEX (Champion) | Austin 2025,0.03,49,steam_market
"Sticker | ZywOo (Foil, Champion) | Austin 2025",0.25,130,steam_market
MAC-10 | Calf Skin (Minimal Wear),0.27,287,steam_market
MP9 | Sand Dashed (Field-Tested),0.04,148,steam_market
Souvenir PP-Bizon | Anolis (Field-Tested),0.03,81,steam_market
Souvenir SG 553 | Bleached (Field-Tested),0.03,97,steam_market
Souvenir MP7 | Prey (Minimal Wear),0.03,217,steam_market
Souvenir UMP-45 | Mudder (Field-Tested),0.04,33,steam_market
MP5-SD | Necro Jr. (Minimal Wear),0.3,528,steam_market
Galil AR | Grey Smoke (Field-Tested),0.03,164,steam_market
SCAR-20 | Poultrygeist (Field-Tested),0.12,1000,steam_market
G3SG1 | Desert Storm (Field-Tested),0.04,308,steam_market
XM1014 | Canvas Cloud (Battle-Scarred),0.03,114,steam_market
Nova | Mandrel (Well-Worn),0.04,12,steam_market
P250 | Sand Dune (Field-Tested),0.04,412,steam_market
Dual Berettas | BorDeux (Field-Tested),0.03,188,steam_market
Sealed Graffiti | Speechless (Tracer Yellow),0.04,19,steam_market
Dual Berettas | Colony (Minimal Wear),0.08,86,steam_market
MP7 | Army Recon (Field-Tested),0.03,56,steam_market
Sticker | donk (Champion) | Shanghai 2024,0.06,621,steam_market
Sticker | sh1ro (Champion) | Shanghai 2024,0.03,45,steam_market
Sticker | zont1x (Champion) | Shanghai 2024,0.03,28,steam_market
"Sticker | sh1ro (Glitter, Champion) | Shanghai 2024",0.04,68,steam_market
Sticker | JT (Glitter) | Shanghai 2024,0.15,3,steam_market
Sticker | MATYS | Shanghai 2024,0.04,5,steam_market
Sticker | Techno4K | Shanghai 2024,0.05,1,steam_market
Sticker | 910 | Shanghai 2024,0.1,4,steam_market
Sticker | yuurih (Glitter) | Shanghai 2024,0.61,4,steam_market
Sticker | chopper (Champion) | Shanghai 2024,0.03,7,steam_market
"Sticker | chopper (Glitter, Champion) | Shanghai 2024",0.03,58,steam_market
MP5-SD | Co-Processor (Well-Worn),0.25,6,steam_market
Souvenir MP7 | Prey (Field-Tested),0.03,218,steam_market
Sealed Graffiti | Loser (Violent Violet),0.06,67,steam_market
Souvenir SSG 08 | Jungle Dashed (Field-Tested),0.03,41,steam_market
Five-SeveN | Forest Night (Field-Tested),0.04,187,steam_market
USP-S | Cyrex (Minimal Wear),6.1,119,steam_market
AWP | Fever Dream (Field-Tested),19.35,68,steam_market
Glock-18 | Water Elemental (Field-Tested),26.91,68,steam_market
Desert Eagle | Heat Treated (Well-Worn),1.87,781,steam_market
Desert Eagle | Tilted (Minimal Wear),0.41,2187,steam_market
AUG | Sweeper (Field-Tested),0.03,383,steam_market
SSG 08 | Necropos (Factory New),15.42,7,steam_market
SG 553 | Cyberforce (Minimal Wear),0.29,502,steam_market
Tec-9 | Re-Entry (Factory New),20.21,43,steam_market
M4A1-S | Basilisk (Field-Tested),11.5,86,steam_market
Sealed Graffiti | GGEZ (Monarch Blue),0.05,25,steam_market
P250 | Mint Kimono (Minimal Wear),15.68,10,steam_market
SG 553 | Tiger Moth (Field-Tested),2.42,18,steam_market
Nova | Koi (Factory New),5.55,30,steam_market
FAMAS | Neural Net (Factory New),25.0,13,steam_market
StatTrak™ Five-SeveN | Nightshade (Factory New),7.91,1,steam_market
StatTrak™ P90 | Module (Factory New),4.0,13,steam_market
MAC-10 | Rangeen (Factory New),3.72,10,steam_market
StatTrak™ UMP-45 | Labyrinth (Factory New),1.15,7,steam_market
Souvenir M249 | Contrast Spray (Minimal Wear),0.06,12,steam_market
AK-47 | Slate (Field-Tested),7.18,892,steam_market
AWP | Atheris (Field-Tested),7.45,513,steam_market
P250 | Metallic DDPAT (Factory New),0.28,843,steam_market
Sticker | HooXi (Glitter) | Copenhagen 2024,0.08,8,steam_market
Sticker | EliGE | Copenhagen 2024,0.03,26,steam_market
Sticker | n0rb3r7 | Copenhagen 2024,0.03,18,steam_market
Sticker | magixx | Copenhagen 2024,0.03,38,steam_market
Sticker | FL1T | Copenhagen 2024,0.03,5,steam_market
Sticker | xertioN | Copenhagen 2024,0.03,36,steam_market
Sticker | JT | Copenhagen 2024,0.03,12,steam_market
Sticker | chopper (Glitter) | Copenhagen 2024,0.14,8,steam_market
Sticker | lux (Glitter) | Copenhagen 2024,0.07,8,steam_market
Sticker | PGL | Copenhagen 2024,0.03,7,steam_market
Sticker | BLAST.tv | Paris 2023,0.03,150,steam_market
"Sticker | dupreeh (Glitter, Champion) | Paris 2023",0.04,22,steam_market
Sticker | Magisk (Champion) | Paris 2023,0.03,19,steam_market
"Sticker | ZywOo (Glitter, Champion) | Paris 2023",0.08,138,steam_market
Sticker | apEX (Champion) | Paris 2023,0.03,6,steam_market
Sticker | Spinx (Champion) | Paris 2023,0.03,6,steam_market
Sticker | ZywOo (Champion) | Paris 2023,0.03,119,steam_market
Sealed Graffiti | Worry (Blood Red),0.06,64,steam_market
AUG | Torque (Field-Tested),9.6,8,steam_market
Souvenir Glock-18 | Night (Field-Tested),0.76,40,steam_market
Sealed Graffiti | Bling (Dust Brown),0.04,7,steam_market
Sealed Graffiti | Noscope (Bazooka Pink),0.04,27,steam_market
Sealed Graffiti | GGWP (SWAT Blue),0.04,23,steam_market
Sealed Graffiti | King Me (Monster Purple),0.07,50,steam_market
Sealed Graffiti | Karambit (Monster Purple),0.04,26,steam_market
Sealed Graffiti | Sorry (Desert Amber),0.04,27,steam_market
StatTrak™ USP-S | Torque (Factory New),7.26,30,steam_market
Glock-18 | Catacombs (Factory New),8.54,30,steam_market
StatTrak™ MP9 | Bioleak (Factory New),2.11,18,steam_market
Revolution Case,0.53,119237,steam_market
MAG-7 | Copper Oxide (Well-Worn),0.04,29,steam_market
MP7 | Short Ochre (Field-Tested),0.03,470,steam_market
Kilowatt Case,0.41,137386,steam_market
Tec-9 | Army Mesh (Field-Tested),0.03,298,steam_market
Recoil Case,0.65,62735,steam_market
SSG 08 | Blue Spruce (Well-Worn),0.04,228,steam_market
P250 | Sedimentary (Minimal Wear),0.11,513,steam_market
MAG-7 | Insomnia (Well-Worn),0.12,558,steam_market
Dual Berettas | Rose Nacre (Minimal Wear),0.14,371,steam_market
MP9 | Multi-Terrain (Minimal Wear),0.03,376,steam_market
R8 Revolver | Amber Fade (Field-Tested),1.89,509,steam_market
MAG-7 | Rust Coat (Field-Tested),0.04,151,steam_market
USP-S | Check Engine (Field-Tested),1.33,364,steam_market
StatTrak™ Five-SeveN | Scrawl (Minimal Wear),0.4,161,steam_market
PP-Bizon | Wood Block Camo (Minimal Wear),0.03,462,steam_market
G3SG1 | Green Cell (Field-Tested),0.03,140,steam_market
SCAR-20 | Short Ochre (Field-Tested),0.03,138,steam_market
Sawed-Off | Forest DDPAT (Field-Tested),0.04,98,steam_market
StatTrak™ Galil AR | Signal (Field-Tested),2.08,44,steam_market
SG 553 | Phantom (Field-Tested),1.38,75,steam_market
Nova | Candy Apple (Field-Tested),0.2,73,steam_market
Glock-18 | Block-18 (Field-Tested),0.76,1131,steam_market
MAC-10 | Silver (Factory New),0.43,558,steam_market
